fold,condition,class_id,class_name,precision,recall,f1,support
3,bandlimit_8khz_roundtrip,0,air_conditioner,0.4166666666666667,0.25,0.3125,20
3,bandlimit_8khz_roundtrip,1,car_horn,1.0,0.8,0.8888888888888888,20
3,bandlimit_8khz_roundtrip,2,children_playing,1.0,0.7,0.8235294117647058,20
3,bandlimit_8khz_roundtrip,3,dog_bark,1.0,1.0,1.0,20
3,bandlimit_8khz_roundtrip,4,drilling,0.5405405405405406,1.0,0.7017543859649122,20
3,bandlimit_8khz_roundtrip,5,engine_idling,0.5416666666666666,0.65,0.5909090909090909,20
3,bandlimit_8khz_roundtrip,6,gun_shot,0.9523809523809523,1.0,0.975609756097561,20
3,bandlimit_8khz_roundtrip,7,jackhammer,1.0,0.4,0.5714285714285714,20
3,bandlimit_8khz_roundtrip,8,siren,0.9523809523809523,1.0,0.975609756097561,20
3,bandlimit_8khz_roundtrip,9,street_music,0.7037037037037037,0.95,0.8085106382978723,20
