fold,condition,class_id,class_name,precision,recall,f1,support
10,white_noise_snr_10db,0,air_conditioner,0.37037037037037035,1.0,0.5405405405405406,20
10,white_noise_snr_10db,1,car_horn,1.0,0.8,0.8888888888888888,20
10,white_noise_snr_10db,2,children_playing,0.6190476190476191,0.65,0.6341463414634146,20
10,white_noise_snr_10db,3,dog_bark,0.6086956521739131,0.7,0.6511627906976745,20
10,white_noise_snr_10db,4,drilling,0.875,0.35,0.5,20
10,white_noise_snr_10db,5,engine_idling,1.0,1.0,1.0,20
10,white_noise_snr_10db,6,gun_shot,1.0,0.45,0.6206896551724138,20
10,white_noise_snr_10db,7,jackhammer,1.0,1.0,1.0,20
10,white_noise_snr_10db,8,siren,0.9473684210526315,0.9,0.9230769230769231,20
10,white_noise_snr_10db,9,street_music,1.0,0.5,0.6666666666666666,20
