fold,condition,class_id,class_name,precision,recall,f1,support
1,white_noise_snr_0db,0,air_conditioner,0.3333333333333333,1.0,0.5,2
1,white_noise_snr_0db,1,car_horn,0.0,0.0,0.0,2
1,white_noise_snr_0db,2,children_playing,1.0,1.0,1.0,2
1,white_noise_snr_0db,3,dog_bark,0.5,1.0,0.6666666666666666,2
1,white_noise_snr_0db,4,drilling,0.25,1.0,0.4,2
1,white_noise_snr_0db,5,engine_idling,0.0,0.0,0.0,2
1,white_noise_snr_0db,6,gun_shot,0.0,0.0,0.0,2
1,white_noise_snr_0db,7,jackhammer,0.0,0.0,0.0,2
1,white_noise_snr_0db,8,siren,0.0,0.0,0.0,2
1,white_noise_snr_0db,9,street_music,0.0,0.0,0.0,2
