split,level,class_id,precision,recall,f1,support
validation,segment,0,0.5091911764705882,0.39571428571428574,0.4453376205787781,700
validation,segment,1,0.4953560371517028,0.9815950920245399,0.6584362139917695,163
validation,segment,2,0.7782426778242678,0.8040345821325648,0.7909284195605953,694
validation,segment,3,0.5808720112517581,0.7634011090573013,0.6597444089456869,541
validation,segment,4,0.5752118644067796,0.8252279635258358,0.6779026217228464,658
validation,segment,5,0.5802816901408451,0.2837465564738292,0.3811285846438483,726
validation,segment,6,0.5225225225225225,0.90625,0.6628571428571428,64
validation,segment,7,0.5128834355828221,0.5421530479896238,0.5271122320302648,771
validation,segment,8,0.9188790560471977,0.7533252720677146,0.827906976744186,827
validation,segment,9,0.6981424148606811,0.6442857142857142,0.6701337295690936,700
validation,clip,0,0.6714285714285714,0.47,0.5529411764705883,100
validation,clip,1,0.5681818181818182,1.0,0.7246376811594203,25
validation,clip,2,0.8380952380952381,0.88,0.8585365853658536,100
validation,clip,3,0.6666666666666666,0.8409090909090909,0.7437185929648241,88
validation,clip,4,0.6054421768707483,0.89,0.7206477732793523,100
validation,clip,5,0.6666666666666666,0.3018867924528302,0.4155844155844156,106
validation,clip,6,0.7692307692307693,1.0,0.8695652173913043,30
validation,clip,7,0.5378787878787878,0.6068376068376068,0.570281124497992,117
validation,clip,8,0.9578947368421052,0.7647058823529411,0.8504672897196262,119
validation,clip,9,0.7553191489361702,0.71,0.7319587628865979,100
test,segment,0,0.5049900199600799,0.7259684361549498,0.5956444967628016,697
test,segment,1,0.3413654618473896,0.5985915492957746,0.43478260869565216,142
test,segment,2,0.8088235294117647,0.8705035971223022,0.8385308385308385,695
test,segment,3,0.8674698795180723,0.9037656903765691,0.8852459016393442,478
test,segment,4,0.7965451055662188,0.8058252427184466,0.8011583011583011,515
test,segment,5,0.509375,0.46906474820143884,0.4883895131086142,695
test,segment,6,0.8095238095238095,0.9444444444444444,0.8717948717948718,72
test,segment,7,0.6153846153846154,0.2926829268292683,0.39669421487603307,738
test,segment,8,0.9456140350877194,0.8461538461538461,0.8931234465617233,637
test,segment,9,0.7464589235127479,0.7528571428571429,0.7496443812233285,700
test,clip,0,0.43558282208588955,0.71,0.5399239543726235,100
test,clip,1,0.5263157894736842,0.7142857142857143,0.6060606060606061,28
test,clip,2,0.912621359223301,0.94,0.9261083743842364,100
test,clip,3,0.9285714285714286,0.9629629629629629,0.9454545454545454,81
test,clip,4,0.8625,0.8414634146341463,0.8518518518518519,82
test,clip,5,0.5,0.45,0.47368421052631576,100
test,clip,6,1.0,1.0,1.0,22
test,clip,7,0.6415094339622641,0.2905982905982906,0.4,117
test,clip,8,0.9651162790697675,0.9120879120879121,0.9378531073446328,91
test,clip,9,0.7941176470588235,0.81,0.801980198019802,100
