split,level,class_id,precision,recall,f1,support
validation,segment,0,0.5083857442348009,0.6928571428571428,0.5864570737605804,700
validation,segment,1,0.48760330578512395,0.7972972972972973,0.6051282051282051,74
validation,segment,2,0.8577844311377245,0.8268398268398268,0.8420279206465834,693
validation,segment,3,0.8710280373831776,0.8090277777777778,0.8388838883888389,576
validation,segment,4,0.7638326585695007,0.8238719068413392,0.7927170868347339,687
validation,segment,5,0.7298013245033113,0.7527322404371585,0.7410894418291862,732
validation,segment,6,0.9166666666666666,0.9930555555555556,0.9533333333333334,144
validation,segment,7,0.536723163841808,0.21017699115044247,0.302066772655008,452
validation,segment,8,0.8056206088992974,0.6785009861932939,0.7366167023554604,507
validation,segment,9,0.8290013679890561,0.8657142857142858,0.8469601677148847,700
validation,clip,0,0.5362318840579711,0.74,0.6218487394957983,100
validation,clip,1,0.7916666666666666,0.95,0.8636363636363636,20
validation,clip,2,0.9320388349514563,0.96,0.9458128078817734,100
validation,clip,3,0.9655172413793104,0.9230769230769231,0.9438202247191011,91
validation,clip,4,0.7622950819672131,0.9393939393939394,0.8416289592760181,99
validation,clip,5,0.7452830188679245,0.7452830188679245,0.7452830188679245,106
validation,clip,6,0.9743589743589743,1.0,0.987012987012987,38
validation,clip,7,0.6818181818181818,0.19736842105263158,0.30612244897959184,76
validation,clip,8,0.875,0.7671232876712328,0.8175182481751825,73
validation,clip,9,0.9285714285714286,0.91,0.9191919191919192,100
test,segment,0,0.36446886446886445,0.2842857142857143,0.31942215088282505,700
test,segment,1,0.5153846153846153,0.8589743589743589,0.6442307692307693,78
test,segment,2,0.8118811881188119,0.8294797687861272,0.8205861329521087,692
test,segment,3,0.6702508960573477,0.7525150905432596,0.7090047393364929,497
test,segment,4,0.8178807947019867,0.8098360655737705,0.8138385502471169,610
test,segment,5,0.6338709677419355,0.5246995994659546,0.5741417092768444,749
test,segment,6,0.896551724137931,0.9454545454545454,0.9203539823008849,55
test,segment,7,0.5417721518987342,0.4495798319327731,0.49138920780711826,476
test,segment,8,0.8134057971014492,0.876953125,0.8439849624060151,512
test,segment,9,0.646273637374861,0.83,0.7267041901188243,700
test,clip,0,0.4024390243902439,0.33,0.3626373626373626,100
test,clip,1,0.8823529411764706,0.9375,0.9090909090909091,16
test,clip,2,0.8932038834951457,0.92,0.9064039408866995,100
test,clip,3,0.797979797979798,0.9080459770114943,0.8494623655913979,87
test,clip,4,0.9183673469387755,0.9278350515463918,0.9230769230769231,97
test,clip,5,0.6790123456790124,0.514018691588785,0.5851063829787234,107
test,clip,6,1.0,1.0,1.0,29
test,clip,7,0.6037735849056604,0.47058823529411764,0.5289256198347108,68
test,clip,8,0.8625,0.9324324324324325,0.8961038961038961,74
test,clip,9,0.6617647058823529,0.9,0.7627118644067796,100
